created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jul 30 23:58:26 +0000 2023;1685802060724486146;"@CNNIndonesia Mau jualan motor listrik kah ?";1;0;0;0;in;178985047;1685460462073458688;her_alone;https://twitter.com/her_alone/status/1685802060724486146
Sun Jul 30 23:34:20 +0000 2023;1685795995249254401;"when udah telat tapi malah dapet gojek motor listrik 🥲🥲🥲 beneran mau turun terus lari https://t.co/6JQ3YZfAOQ";0;10;0;1;in;1654140008604012544;1685795995249254401;affecttioon;https://twitter.com/affecttioon/status/1685795995249254401
Sun Jul 30 23:26:25 +0000 2023;1685794004435410944;"@Bataviase77 Kalau mau diatur sama elit gombal, pilihlah motor/mobil listrik buatan mereka. 😊 Mobil konvensional itu tidak akan bisa tergantikan.";0;0;0;0;in;1290137626234634240;1685667981362368512;MartaArdy;https://twitter.com/MartaArdy/status/1685794004435410944
Sun Jul 30 22:58:02 +0000 2023;1685786859476307968;"ak pgn motor knp mlh di beliin sepeda listrik.. alhamdulillah";0;0;0;0;in;1567481661549576193;1685786859476307968;cakezayie;https://twitter.com/cakezayie/status/1685786859476307968
Sun Jul 30 22:20:54 +0000 2023;1685777514130804736;"@CNNIndonesia Gak gt ah kl mau jualan motor listrik. Lu enak esdm kmn2 naik mobil gapernah ketek2an di KRL";0;0;0;0;in;550039026;1685460462073458688;BAFauzi_;https://twitter.com/BAFauzi_/status/1685777514130804736
Sun Jul 30 18:11:31 +0000 2023;1685714756236349441;"Nah! Ternyata Sepeda Listrik Juga Bisa Kena Tilang https://t.co/CwGSUMPMI4";0;0;0;0;in;324362237;1685714756236349441;MotorExpertz;https://twitter.com/MotorExpertz/status/1685714756236349441
Sun Jul 30 18:10:49 +0000 2023;1685714580725809152;"Mitos Atau Fakta, Motor Listrik Sering Dicuci Bisa Cepet Rusak? https://t.co/MVZYBSOV4S";0;0;0;0;in;324362237;1685714580725809152;MotorExpertz;https://twitter.com/MotorExpertz/status/1685714580725809152
Sun Jul 30 18:09:51 +0000 2023;1685714336831168512;"Mitos Atau Fakta, Motor Listrik Sering Dicuci Bisa Cepet Rusak? https://t.co/6yi46laG0x";0;0;0;0;in;172677495;1685714336831168512;acepe01;https://twitter.com/acepe01/status/1685714336831168512
Sun Jul 30 16:28:35 +0000 2023;1685688852244230144;"Faktanya, kendaraan listrik memiliki emisi terendah loh. Selain itu, kendaraan listrik lebih hemat biaya operasionalnya. Yuk sama-sama beralih ke molis!  #PakaiMolisYuk #Motor #Mobil #Kendaraan #Info #Terbaru #Update #Viral #sundayvibes #esenyurt https://t.co/PtKBTMCHIc";0;0;0;1;in;1599794003956092931;1685688852244230144;pilooajaa;https://twitter.com/pilooajaa/status/1685688852244230144
Sun Jul 30 16:26:39 +0000 2023;1685688365952409600;"Dibonceng motor listrik ini bikin capek, karena rem sama torsinya g nyantai";0;0;0;0;in;60835384;1685688365952409600;ryandzhunter;https://twitter.com/ryandzhunter/status/1685688365952409600
Sun Jul 30 16:11:01 +0000 2023;1685684428968988672;"@ridwanhr @pln_123 Dari dulu om ane make motor listrik tuker baterai di PLN sering eror mesinnya";0;0;0;0;in;1244873942419918848;1685603045747589120;mangkimin;https://twitter.com/mangkimin/status/1685684428968988672
Sun Jul 30 15:59:49 +0000 2023;1685681612514852864;"Apa sih perbedaan sepeda motor konversional dengan sepeda motor listrik? Yuk simak hal berikut  #PakaiMolisYuk #PLN #Molis #Info #Terbaru #Update #Viral #sundayvibes #esenyurt https://t.co/QXqPwhRlvL";0;0;0;1;in;1596457160103276544;1685681612514852864;mirajanee344;https://twitter.com/mirajanee344/status/1685681612514852864
Sun Jul 30 15:58:59 +0000 2023;1685681402589876225;"Ya pantes si Hirotada bangga bener ama Pasar Minggu, mirip bener emang sama rio de jenero ..  Kagak heran udah kalo jam 1 malem motor masih pada warwer liwat, hansip pada ngentongin tiang listrik. Paham banget dah sekarang gua";0;2;0;1;in;123762922;1685681402589876225;dare_darou;https://twitter.com/dare_darou/status/1685681402589876225
Sun Jul 30 15:55:11 +0000 2023;1685680447760834560;"Yuk beralih ke motor listrik demi lingkungan yang lebih baik! Kamu bisa membeli motor listrik menggunakan aplikasi PLN Mobile loh  #PakaiMolisYuk #PLN #Molis #Info #Terbaru #Update #Viral #sundayvibes #esenyurt https://t.co/yAIO70LrsI";0;0;0;1;in;1595662709508386816;1685680447760834560;aikaachan44;https://twitter.com/aikaachan44/status/1685680447760834560
Sun Jul 30 15:49:10 +0000 2023;1685678930790055936;"@jokowi @erickthohir @sandiuno Sudah sangat urgent perlu charger motor listrik di setiap kawasan wisata minimal 100 titik charge mohon secepatnya di akomodasi pak karena setiap kali charge minimal 4 jam kalau sedikit titik charge nya antri nya luar biasa  https://t.co/3TFBX2O0D2";0;0;0;0;in;1604062702854635520;1685678930790055936;balikpapan7000;https://twitter.com/balikpapan7000/status/1685678930790055936
Sun Jul 30 15:44:01 +0000 2023;1685677634473377792;"Motor listrik jadi kendaraan masa kini, kamu bisa cek molis lewat aplikasi PLN mobile  #PakaiMolisYuk #esenyurt  #quackityspace  #BBNaija https://t.co/maTaQRp0S7";0;0;0;1;in;1616024470053064707;1685677634473377792;KemisHadi;https://twitter.com/KemisHadi/status/1685677634473377792
Sun Jul 30 15:43:11 +0000 2023;1685677425383133184;"Download aplikasi PLN mobile untuk mempermudah kamu untuk cari motor listrik  #PakaiMolisYuk #esenyurt  #quackityspace  #BBNaija https://t.co/32XbbG34Qp";0;0;0;1;in;1616025377348128768;1685677425383133184;elvano65273660;https://twitter.com/elvano65273660/status/1685677425383133184
Sun Jul 30 15:39:53 +0000 2023;1685676595825332224;"@detikcom Sepeda listrik itu gasnya kenceng lho kaya motor matic... Kalau disini yang pakai ibu2 dan bapak2 paling dikampung2 dalam gak sampe kejalan raya.... Anak2 kecil gak berani karena kenceng banget gasnya....";0;1;0;1;in;1502644044908068867;1685221124831895553;umilumal1;https://twitter.com/umilumal1/status/1685676595825332224
Sun Jul 30 15:38:46 +0000 2023;1685676315087876096;"Masih suka kaget banget tiap disalip motor/mobil listrik, gadak suara nya cuy tiba tiba banget kaya hantu aowkaowkaok 😂😆 keren sih.";0;0;0;0;in;68014974;1685676315087876096;nindyaheryanto;https://twitter.com/nindyaheryanto/status/1685676315087876096
Sun Jul 30 15:12:21 +0000 2023;1685669664947576832;"Motor listrik tidak mencemari udara karena tidak mengeluarkan gas emisi yang dapat mencemari lingkungan #PakaiMolisYuk #PraktisPakaiMolis  Goodbye Twitter Besok Senin Minggu Tetel PIK Bakwan#TheUncannyCounter2 https://t.co/ZSsVqJ4BVT";0;0;0;1;in;1574754287976353792;1685669664947576832;NicoleG45244478;https://twitter.com/NicoleG45244478/status/1685669664947576832
Sun Jul 30 15:11:37 +0000 2023;1685669481790754816;"Buruan beralih ke motor listrik untuk membantu mengurangi polusi udara #PakaiMolisYuk #HematPakaiMolis  Goodbye Twitter Besok Senin Minggu Tetel PIK Bakwan#TheUncannyCounter2 https://t.co/umrKzt8AMO";0;0;0;1;in;1579731243263934466;1685669481790754816;Catheri57762187;https://twitter.com/Catheri57762187/status/1685669481790754816
Sun Jul 30 15:10:54 +0000 2023;1685669301813145600;"Dengan menggunakan motor listrik, maka udara akan bersih dan terbebas dari polutan #PakaiMolisYuk #AyoPakaiEV  Goodbye Twitter Besok Senin Minggu Tetel PIK Bakwan#TheUncannyCounter2 https://t.co/gl6e9CF8fO";0;0;0;1;in;1591135681102761984;1685669301813145600;heyking_xone;https://twitter.com/heyking_xone/status/1685669301813145600
